request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,429.49,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,"Pay EUR 1,302.40 in full on 15 July 2024. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,15155.35,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Although ZAR 15,155.35 is available today, the full amount cannot be completed safely within 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,3994442.78,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Pay IDR 18,164,000 in full on 15 October 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,15535.96,affordable_later,wait,2025-03-15:40018,2025-03-15,none,"Pay ZAR 40,018 in full on 15 March 2025. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,25662.73,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000 in full on 15 March 2026. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,52683.99,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,636.87,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Pay USD 3,954 in full on 15 August 2026. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,6828914.15,affordable_later,wait,2024-04-15:14649000,2024-04-15,none,"Pay IDR 14,649,000 in full on 15 April 2024. Paying earlier would take the balance below the IDR 17,056,200 minimum."
request_38,186.47,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Pay EUR 971.30 in full on 15 September 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,68182.71,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,430.57,affordable_later,wait,2024-07-15:1290.30,2024-07-15,none,"Pay EUR 1,290.30 in full on 15 July 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,9070331.15,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,9044212.97,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,36567.35,affordable_later,wait,2025-03-15:95800,2025-03-15,none,"Pay INR 95,800 in full on 15 March 2025. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,5270814.54,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Pay IDR 21,983,000 in full on 15 August 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,41003.57,affordable_with_plan,partial_payment,2024-12-03:41003.57|2024-12-15:8446.43,2024-12-15,none,"Pay INR 41,003.57 today and the remaining INR 8,446.43 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,14410069.32,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,19485.24,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,602.74,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,6458.84,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 6,458.84 is available today, the full amount cannot be completed safely within 90 days."
request_55,133498.57,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,490.2,affordable_with_plan,partial_payment,2025-02-03:490.20|2025-02-15:391.36,2025-02-15,none,"Pay USD 490.20 today and the remaining USD 391.36 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,11448.89,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Pay ZAR 61,446 in full on 15 May 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,108.92,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,34958.1,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 34,958.10 is available today, the full amount cannot be completed safely within 90 days."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,5057.2,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,057.20 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,412.0,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094 in full on 15 October 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1418.88,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,48829.56,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,978594.32,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 978,594.32 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,19942.36,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 28,270 request. Although ZAR 19,942.36 is available today, the full amount cannot be completed safely within 90 days."
request_76,975.79,not_affordable,not_recommended,none,2024-08-15,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,44366.3,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:event_7224:805,"Reduce the expense (event_7224) to INR 805, then pay INR 50,200 today. This leaves at least INR 55,200 available."
request_79,352.99,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 352.99 is available today, the full amount cannot be completed safely within 90 days."
request_80,117120.57,not_affordable,not_recommended,none,2025-04-15,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,463.48,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"Pay USD 1,405.20 in full on 15 January 2025. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,7767.06,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 7,767.06 is available today, the full amount cannot be completed safely within 90 days."
request_84,28607.44,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Pay INR 95,400 in full on 15 May 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,1084252.83,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 1,084,252.83 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,25232.97,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request. Although INR 25,232.97 is available today, the full amount cannot be completed safely within 90 days."
request_88,10362.06,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,10128887.51,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
